"geneID","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","Count","SYMBOL"
"115019/51700/9498/283375/762/25800/54831/57282/6508/65010/10861/8671/116369/1811/1080/23516","GO:0015701","bicarbonate transport","16/4017","36/18434",0.444444444444444,2.03955411722402,3.29552434395838,0.00199784773023882,0.0193018898921476,0.0151812239666206,16,NA
"116362/30814/5320/391013/6513/1382/84647/51703/55867/11309/1813/160728/5319/11001/4828/8399/4843/1636/5608/8792/8529/3973/2168/3552/6754/28231/4923/50487/5468/788/5948/5947/2169/28965/56923/948/3952/4067/2171/5375/646480/2167/646486/729330/301/9536","GO:0015908","fatty acid transport","46/4017","120/18434",0.383333333333333,1.75911542610572,4.4037059618936,2.77074431345585e-05,0.000654588344053944,0.000514843484889267,46,NA
"116362/30814/5320/391013/8431/6513/6512/388662/9122/9900/1382/477/115019/1645/1109/220963/84647/1244/118980/51703/6833/9152/57084/8501/6520/55867/9965/2352/2348/11309/1813/6539/196500/6579/54407/55117/160728/32/5319/6555/9056/23428/11001/123264/4828/8399/4363/368/1066/8140/284111/162515/55244/4843/9058/8714/1636/5608/9121/3993/5205/8792/80131/6511/8529/11136/634/6519/3973/6509/2168/3552/151258/4036/189/6754/28231/4923/50487/6538/5468/54716/65010/788/10991/2912/846/5948/5947/57709/10057/200931/10861/201780/345274/9429/6622/2169/23657/6507/6558/28965/9963/6534/285641/153201/56923/7124/116369/222642/26503/3351/2697/2911/948/5243/1811/3952/4067/2171/5375/646480/2167/646486/347051/729330/6505/301/4915/11046/56262/9536/59272/9075/11254/6535","GO:0046942","carboxylic acid transport","136/4017","354/18434",0.384180790960452,1.76300440641398,7.65140062655104,6.08024022853376e-13,1.47093171608689e-10,1.15690970916817e-10,136,NA
"116362/30814/5320/391013/8431/6513/6512/388662/9122/9900/1382/477/115019/1645/1109/220963/84647/1244/118980/51703/6833/9152/57084/8501/6520/55867/9965/2352/2348/11309/1813/6539/196500/6579/54407/55117/160728/32/5319/6555/9056/23428/11001/123264/4828/8399/4363/368/1066/8140/284111/162515/55244/4843/9058/8714/1636/5608/9121/3993/5205/8792/80131/6511/8529/11136/634/6519/3973/6509/2168/3552/151258/4036/189/6754/28231/4923/50487/6538/5468/54716/65010/788/10991/2912/846/5948/5947/57709/10057/200931/10861/201780/345274/9429/6622/2169/23657/6507/6558/28965/9963/6534/285641/153201/56923/7124/116369/222642/26503/3351/2697/2911/948/5243/1811/3952/4067/2171/5375/646480/2167/646486/347051/729330/6505/301/4915/11046/56262/9536/59272/9075/11254/6535","GO:0015849","organic acid transport","136/4017","355/18434",0.383098591549296,1.75803819681845,7.61253920336568,7.76749351071001e-13,1.73991854639904e-10,1.36847185867051e-10,136,NA
"116362/30814/5320/391013/8431/6513/6512/388662/9122/9900/1382/477/55811/115019/1645/1109/220963/84647/1244/118980/255022/119395/51703/51700/6833/9152/57084/8501/6520/387601/387775/55867/9965/2352/2348/11309/1813/219855/6539/196500/6579/54407/9498/283375/55117/160728/32/51228/5319/6555/9056/23428/11001/123264/4828/8399/4363/368/1066/8140/55065/284111/162515/6517/55244/4843/9058/8714/762/1636/5608/9121/3993/25800/5205/8792/80131/54831/6511/8529/11136/634/6519/3973/6509/2168/3552/57282/151258/4036/6508/189/113278/6754/81031/28231/4923/63910/54020/50487/6538/5468/54716/65010/788/10991/2912/846/5948/5947/57709/6514/10057/200931/10861/56606/201780/8671/345274/9429/6622/4547/2169/83447/23657/6507/353189/133482/6558/28965/9963/6534/285641/153201/56923/10050/6568/7124/80736/116369/222642/26503/3351/10559/2697/340146/2911/948/5243/1811/1080/3952/23516/4067/2171/5375/646480/2167/646486/347051/729330/6505/301/4915/11046/56262/9536/59272/9075/11254/6535","GO:0015711","organic anion transport","171/4017","461/18434",0.370932754880694,1.70220921171788,8.05968699726338,2.63909664176199e-14,9.97578530586033e-12,7.84610376587003e-12,171,NA
"116362/30814/5320/391013/8431/6513/9122/1382/1645/1109/220963/84647/1244/51703/55867/9965/11309/1813/6539/6579/160728/32/5319/6555/11001/123264/4828/8399/1066/162515/4843/8714/1636/5608/9121/5205/8792/8529/634/3973/2168/3552/6754/28231/4923/50487/6538/5468/65010/788/846/5948/5947/200931/201780/345274/9429/2169/28965/56923/7124/222642/26503/948/3952/4067/2171/5375/646480/2167/646486/347051/729330/301/9536/9075/6535","GO:0015718","monocarboxylic acid transport","77/4017","183/18434",0.420765027322404,1.9308893486834,6.6802351701863,5.03754826229494e-10,6.09341837807196e-08,4.79256433627596e-08,77,NA
"116362/57540/30814/5320/391013/8431/407031/6513/24/1382/1401/336/183/1645/1109/84647/5950/1244/51703/118987/118471/338440/57104/3784/55867/1119/51083/9965/10809/11309/25987/1813/116519/337/345/335/57476/6579/160518/8435/121601/160728/32/51228/5319/51761/23111/6555/23250/5104/11001/3990/123264/64220/80765/4828/8399/4363/1066/201305/124976/83394/57048/4843/10948/65266/1394/114881/8714/1636/350/10351/5608/1149/9388/147323/5205/8792/148229/440503/718/8529/634/3783/338/5443/64240/64241/3973/2168/3552/114880/26154/50636/6754/343702/3929/28231/4923/50487/63924/51738/5468/114884/788/5948/5947/389158/185/9370/347/200931/10396/57205/201780/345274/6696/9429/4547/2169/9227/28965/2760/56923/406938/23120/7124/222642/4602/4018/80820/3624/29881/154664/222008/948/5243/5444/857/1080/3952/29923/6469/4824/6770/114786/4067/7274/389668/2171/5375/646480/2167/646486/347051/729330/51305/7436/301/407019/9536","GO:0010876","lipid localization","161/4017","478/18434",0.336820083682008,1.5456662739841,6.38039756002635,8.8918049769025e-10,9.77775209096478e-08,7.69034769198515e-08,161,NA
"116362/57540/30814/5320/391013/8431/407031/6513/24/1382/336/183/1645/1109/84647/5950/1244/51703/118987/118471/338440/3784/55867/1119/51083/9965/10809/11309/25987/1813/116519/337/345/335/57476/6579/160518/8435/121601/160728/51228/5319/51761/23111/6555/23250/5104/11001/3990/123264/64220/80765/4828/8399/4363/1066/201305/124976/83394/57048/4843/10948/65266/1394/114881/8714/1636/350/10351/5608/1149/9388/147323/5205/8792/148229/8529/634/3783/338/5443/64240/64241/3973/2168/3552/114880/26154/50636/6754/343702/3929/28231/4923/50487/63924/51738/5468/114884/788/5948/5947/389158/185/9370/347/200931/10396/57205/201780/345274/6696/9429/4547/2169/9227/28965/2760/56923/23120/222642/4602/4018/80820/3624/29881/154664/948/5243/5444/857/1080/3952/6469/4824/6770/114786/4067/7274/389668/2171/5375/646480/2167/646486/347051/729330/51305/7436/301/407019/9536","GO:0006869","lipid transport","152/4017","456/18434",0.333333333333333,1.52966558791801,6.04539899449662,5.83926380100736e-09,5.35088901037766e-07,4.20855392611679e-07,152,NA
"119548/5406/5407/5408/57104/116519/337/345/3990/9388/440503/26291/338/1373/150379/11343/285848/5294","GO:0019433","triglyceride catabolic process","18/4017","31/18434",0.580645161290323,2.66457876605074,4.89612348221692,1.24918170257153e-05,0.000354697227096367,0.00027897465351721,18,NA
"121643/6656/54567/2736/2737/58524/8022","GO:0060579","ventral spinal cord interneuron fate commitment","7/4017","11/18434",0.636363636363636,2.92027066784348,3.36271524533365,0.0033119415010646,0.0281724644141191,0.0221580629851372,7,NA
